Rating,Comments,Category,Comment Categories,Rating Categories
4.0,"Another Midrange killer Smartphone by Xiaomi

Major Highlights:
• The Redmi 6 Pro sports a 5.84-inch full-HD+ display with a notch
• Powered by the Qualcomm Snapdragon 625 SoC
• The phone is priced at Rs. 10,999 for the 3GB RAM variant (Start Point)
• Battery of 4000 mAh and its Durability
• The Tripple Slots
• Dual AI Camera

Well in Redmi 6 Series you will get 3 Different Smartphones with different specs, and from all of them, Redmi 6 pro is most powerful and advanced (as said by Redmi India in their launch event).

Xiaomi Redmi 6 Pro design:
Being the most premium phone of the new Redmi 6 family, the Redmi 6 Pro has been given somewhat better materials, in the form of a metal backplate. However, the overall design isn’t too different from what we’ve already seen from Xiaomi at around this price point. This is a fairly thick phone, and it's a bit hefty too, but it’s manageable. The buttons have good feedback without being noisy, and on the left side, you get a single tray which can hold two SIM cards and a separate microSD card. Something worth noting is that the Redmi 6 Pro does not support dual 4G VoLTE, which means that only one SIM can connect to a 4G network at a time, The placement of ports is good. The mono speaker is on the bottom right, so chances of blocking it when using the phone in landscape mode are slim. The headphone socket is placed on the top, and you also get an infrared (IR) emitter which can be used to control IR appliances through the Mi Remote app.

Xiaomi Redmi 6 Pro specifications and software:
The phone uses Qualcomm’s Snapdragon 625 SoC, which is a couple of years old now but is still a capable chip for general tasks. Gaming performance isn’t great, as some popular games like PUBG, and asphalt default to the lowest graphics settings, and even then, gameplay isn’t smooth. Our unit was running on a pre-release version of its MIUI software, which prevented us from running most benchmarks.

Storage Options:
Well I am impressed with the Xiaomi as they provided triple Slot in sim tray (2 for nano sim & one for SD card)

Heating Issues:
Well, I do not find any heating issues in this phone while playing games like PubG and Asphalt.

Camera in Redmi 6 pro:
The rear 12-megapixel camera has a f/2.2 aperture with PDAF. Autofocus was decently quick in good light. There’s auto-HDR, which did a good job of balancing the exposure in our experience. We observed good detail in landscape shots in daylight, and colours were pleasing too. The main sensor stumbled a bit with macros, as it simply wasn't able to resolve finer detail. The white balance was a bit of a hit or a miss in close-ups, and we often found ourselves having to tap-to-focus to get the white balance back on track. Saving HDR images takes a good couple of seconds in daylight. I would be very happy if they have provided the Flash in Portrait Mode, still, you can Tap on Torch icon to switch, on the torch, you will get the flash in Portrait Mode.

Battery in Redmi 6 Pro:
Battery life is one of the strong suits of the Redmi 6 Pro. The 4000mAh battery easily lasted us a full day and a bit more on one charge. Playing heavy games didn't drain the battery too much either. In a single round of PUBG (around 30 minutes), in which we survived till the very end, we recorded a drop of around seven percent, which is not bad. In our internal video loop test, we got a runtime of 16 hours and 45 minutes, which is very good. The Redmi 6 Pro doesn’t support fast charging, but the bundled 10W adapter gave us roughly a 55 percent charge in an hour, and it took us roughly 2 hours and 35 minutes to charge it completely from zero
Well before buying this phone I have heard many issues regarding inbuilt Advertisement in Xiaomi devices, and I checked that too in my previous Xiaomi phone which I am using since 2 Years. And actually, I found inbuilt ads in those phones. You will see ads in inbuilt developers apps like MI Apps, Mi Music, Mi Videos, Security, File Manager, Themes, sometimes you will see full-screen ads which are really irritating for Mi Fans, but there is a cooler way to stop those ads those who wanted to know contact me.

Final Verdict:
Well for the people who want a notch Display, Big Battery and Descent Camera you they can buy this phone blindly.
Suggestion for Xiaomi India: You should stop those inbuilt Ads present in your devices because we customers don’t find those ads Valuable. Because we are not Surfing any website where many ads are present. So please stop it.

Note: Pics Included in this Review are captured by Redmi Note 3",Display,Positive,Positive
3.0,All ok but vry small size mobile,Others,Negative,Neutral
3.0,Quite good,Others,Positive,Neutral
5.0,"Redmi has always have been the the king of budget segment.And yet another they gave us the Redmi 6 pro.It's a beautifully designed,strong and durable.And the camera is awesome just like the Note 5 pro,Display is crisp and the notch is in good shape, means it does take whole screen.Sound quality is clear and loud.But the headset experience is awesome.The Battery is 4000mah which is crazily optimized.In heavy useage it will give 2 day and a half in normal useage it give 3 days.And best thing is the inbuild Mi sercurity which loaded with features.You don't need third security apps.And the phone do charge little faster on it's stock adapter.Atleast 2hrs and 45mins.As it's a Qualcomm Chipset.

Verdict: The Base model is actually the Value for money deal. 3/32 GB.
I have been using the Redmi 6 pro for 3 weeks now. This is totally tested.",Display,Positive,Very Positive
2.0,worst product from MI. I am a hardcore fan of MI. But this one really disappointing.,Others,Negative,Negative
3.0,"Over prised by at least around Rs.1000/- Low light photos are bad. Only one SIM support VOLTE.
Good things are best sound, good display, smooth touch, excellent battery life management, compact, nice photos and videos under good light. It never gets over heated while using or charging. I don't play games. I like MIUI. I have already Redmi 4 A (Rs.6000/-only) using for more than 14 months working superbly. I have good opinion about Redmi mobiles.",Display,Positive,Neutral
4.0,"Pros:
notch display
Dual camera
Face unlock
4000 mah battery
Cons:
Some of the apps donot work in full screen mode.
No Front flash

Great product to purchase finally and its value for money.I got this phone for 10,500 and thanks to Xiaomi.",Display,Positive,Positive
4.0,Front camera is poor rest things are good,Camera,Negative,Positive
5.0,Wooo,Others,Positive,Very Positive
5.0,"Realme is sub brand of oppo
He give money to all techi youtubers including big ones and tell him to promote more realme
But MI 6 Pro is much better than real me
Don't worry mi have given value for money as always",Others,Negative,Very Positive
5.0,awesome product at this range,Others,Positive,Very Positive
4.0,"Very nice looks , smooth operation , camera could have been better",Camera,Positive,Positive
4.0,Like every things but fullscreen video playing option is not available in default player...,Others,Negative,Positive
1.0,"Please don't buy these product.. I have 3-mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot-spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.",Others,Negative,Very Negative
5.0,"Thanks alot Amazon,ecom & seller.perfect product no compromise in quality, good battery backup.smooth working no hanging problem.no heating issue.according to note 5 dual camera working properly.product packing is perfect again thanks alot Amazon, seller,ecom &&&&MI.",Battery,Positive,Very Positive
3.0,The product is great with quite good features. I am great fan of xiaomi and I have been always using Xiaomi phones. But I am disappointed with mobile designing of Xiaomi as most of all the lower range and mid range phones have same design. Xiaomi always being giving with so many features but being realme entering in market Xiaomi has to be more creative to attract more indian customers.,Others,Negative,Neutral
3.0,Camera clarity is not good and average mobile I purchased first time mi mobile but not good compare to expect,Camera,Negative,Neutral
5.0,"Superb job by Xiaomi
Handy phone. Not huge size not slippery.
Better battery display processing speed. Overall its the best phone.",Display,Very Positive,Very Positive
5.0,"Good phone at such a valuable price. Notch display.
Value for money",Display,Positive,Very Positive
5.0,Good phone,Others,Positive,Very Positive
5.0,"Great product, fully met my expectations....",Others,Positive,Very Positive
4.0,Good,Others,Neutral,Positive
1.0,Do not buy.,Others,Negative,Very Negative
2.0,No dual 4g if you think new mobile you buy realme 1,Others,Very Negative,Negative
5.0,very good phone of this budget......red colour very beautiful,Others,Positive,Very Positive
4.0,Nice product. Delivery guy also.,Delivery,Positive,Positive
2.0,Bad camera quality and heating problem,Camera,Negative,Negative
4.0,"Good phone in budget. Good camera,battery and performance for normal use. Call sound is very good.",Battery,Positive,Positive
3.0,"Awesome sound quality , battery life is good , gaming is good no lags there ...Very poor camera if you r buying for a camera phone the m this is not the one.. Moto 5 MP camera works better than this",Battery,Negative,Neutral
5.0,Good phone,Others,Positive,Very Positive
5.0,"Great product, fully met my expectations....",Others,Positive,Very Positive
4.0,Good,Others,Positive,Positive
1.0,Do not buy.,Others,Negative,Very Negative
2.0,No dual 4g if you think new mobile you buy realme 1,Others,Very Positive,Negative
5.0,very good phone of this budget......red colour very beautiful,Others,Positive,Very Positive
4.0,Nice product. Delivery guy also.,Delivery,Positive,Positive
2.0,Bad camera quality and heating problem,Camera,Negative,Negative
4.0,"Good phone in budget. Good camera,battery and performance for normal use. Call sound is very good.",Battery,Positive,Positive
3.0,"Awesome sound quality , battery life is good , gaming is good no lags there ...Very poor camera if you r buying for a camera phone the m this is not the one.. Moto 5 MP camera works better than this",Battery,Negative,Neutral
4.0,"Nice mobile, battery backup is good, camera gud, one limitation is front camera- 5 no, slim & light weight mobile",Battery,Positive,Positive
4.0,Like everything besides display.,Display,Negative,Positive
3.0,"A Bit Pricey compared to the competitors.
Nice and Sleek body feels Good on Hand.
Overall Performance Is good Enough less heat compered to mi redmi devices.",Others,Positive,Neutral
1.0,Please dont't bye camera is good but battery back up not good,Battery,Negative,Very Negative
4.0,"Worth the price, no hybrid slim slot very good point, front camera is poor only 5mp and the handset is too heavy in weight. Handy phone small size full screen.",Camera,Negative,Positive
1.0,"Worst phone from MI and Amazon
Touch was not good and didnot working as expected
Without touching the screen click is happening and unnecessary apps are opening",Others,Very Negative,Very Negative
1.0,Both Camera quality is bed.its price is too high and quality are lowest.,Camera,Negative,Very Negative
1.0,I have purchsed this item and two jio sim are not working togeher. But in specification it is given that it supports dual 4g sim. What is this? Please dove my problem.,Others,Negative,Very Negative
5.0,This product is very nice and battery life and notch display is very awesome,Display,Positive,Very Positive
5.0,It's very fantastic awesome mobile and nice sound quality. Awesome camera. Nice battery life. Awesome look but I think it's small size.,Battery,Positive,Very Positive
5.0,"Battery life is awesome including display is too good, fast charging makes it extremely well. Good value for money.",Display,Very Positive,Very Positive
3.0,"Good phone but not value for money, Prefer Redmi note 5 over this but was not in stock since last 2 months",Others,Negative,Neutral
4.0,Works pretty good for a budget phone. Battery life is amazing but camera is a let down. Finger print is very fast.,Battery,Positive,Positive
5.0,Charger not received in the box,Delivery,Negative,Very Positive
5.0,Width is little less. Still good phone. Face unlock and finger print unlocks are awasome,Others,Positive,Very Positive
5.0,Nice,Others,Positive,Very Positive
5.0,Redmi is always good for me and Redmi 6 pro performance is very good and good Bettry backup,Others,Positive,Very Positive
5.0,"Midrange phone with a notch...and brand like MI...
Aur kya chahiye",Others,Positive,Very Positive
1.0,disapointing,Others,Very Negative,Very Negative
1.0,Worst phone,Others,Very Negative,Very Negative
5.0,Powerful device I love mi ...thnax Amazon for quick delivery,Delivery,Positive,Very Positive
1.0,Ok,Others,Neutral,Very Negative
5.0,Top class device... No words!!!,Others,Very Negative,Very Positive
4.0,Mobile is good also service of Amazon is better than other like paytm.,Others,Positive,Positive
5.0,"I love amezon
Good packing
Good product
Camera battry good",Camera,Positive,Very Positive
5.0,Sup up model in MI thank u .. low price best features available,Others,Positive,Very Positive
5.0,One of the best..... In the price range,Others,Positive,Very Positive
5.0,"Phone is good Quality Dual Camera is Very Best
Full display show good dimensions",Display,Positive,Very Positive
5.0,One of the best of my purchases,Others,Positive,Very Positive
4.0,"Nice look with notch display, but sound is little bit low..",Display,Negative,Positive
4.0,Good phone,Others,Positive,Positive
3.0,"Sound quality is not so good
Either way the mobile best in its segment",Others,Negative,Neutral
5.0,Display is best.,Display,Positive,Very Positive
1.0,Sometimes automatically speaker on and little hanging problem camera battery good.,Battery,Positive,Very Negative
5.0,"Picture perfect camera
Great sound
Good battery life
Value for money",Battery,Positive,Very Positive
5.0,"Best phone with notch Display ,Battery Backup, Quality Rear Camera.Value for Money.",Display,Positive,Very Positive
5.0,Fabulous products by fabulous xiomi,Others,Positive,Very Positive
5.0,this mobile awesome.... i loved it best battery life and performance...,Battery,Positive,Very Positive
5.0,Best to buy...i love it??,Others,Positive,Very Positive
5.0,"Battery is good
Phone is good
Camera is good
Praformens is good",Battery,Positive,Very Positive
5.0,"Very happy with this mobile
Fast delivery got my parcel in just 22 hours",Delivery,Positive,Very Positive
5.0,No change in camera quality. Other functions super se v uper... ????????????,Camera,Negative,Very Positive
5.0,Awesome phone....all features available....m super happy with phone,Others,Positive,Very Positive
5.0,Sound and battery life good,Battery,Neutral,Very Positive
5.0,"Very very nice and budget smartphone good xiaomi

Thanks Amazon",Others,Positive,Very Positive
5.0,Good mobile.. battery backup good,Battery,Positive,Very Positive
3.0,Sound qulity not dolby and processor performance not ok.,Others,Negative,Neutral
4.0,Looking wise sexy but camera quality is not worth over all good,Camera,Negative,Positive
5.0,This is the best phone mi phone,Others,Positive,Very Positive
5.0,"This cellphone is good & economical , more features available",Others,Positive,Very Positive
5.0,"This cellphone is good & economical , more features available",Others,Positive,Very Positive
5.0,One of best mobile compare to nokia 6 1 plus,Others,Positive,Very Positive
5.0,Display Quality and battery backup is good,Display,Positive,Very Positive
1.0,I'm fan MI but No dual volte.. waste of money..,Others,Negative,Very Negative
5.0,"This product is very good, battery backup is very good,",Battery,Positive,Very Positive
5.0,In this budget phone is good and Sound quality is also awesome,Others,Positive,Very Positive
5.0,I use this phone and I like all quality,Others,Positive,Very Positive
5.0,Best notch light weight phon.,Others,Positive,Very Positive
4.0,"Nice product and durability also good..
Best for camera's",Camera,Positive,Positive
5.0,The Product is Bulky would have bring the weight down,Others,Negative,Very Positive
4.0,Camera is good,Camera,Positive,Positive
4.0,Good mm??????,Others,Neutral,Positive
4.0,I didn't get 500/- discount . Buy through HDFC bank,Others,Negative,Positive
5.0,Better phone,Others,Very Negative,Very Positive
5.0,Good,Others,Neutral,Very Positive
5.0,Good,Others,Positive,Very Positive
5.0,Good,Others,Very Positive,Very Positive
5.0,Good phone,Others,Positive,Very Positive
4.0,Front camera low hai cost jyada hair 9999 take think tha,Camera,Negative,Positive
4.0,Overall the product build and handling quality is good.,Others,Positive,Positive
5.0,Wonderful phone.....,Others,Very Positive,Very Positive
3.0,Low pictures clarity,Others,Negative,Neutral
5.0,Hello,Others,Positive,Very Positive
5.0,Good quality,Others,Neutral,Very Positive
5.0,Fast delivery great,Delivery,Positive,Very Positive
5.0,This phone is simply awesome in this price range??,Others,Positive,Very Positive
5.0,Good,Others,Neutral,Very Positive
5.0,One of the best phone under 12k.,Others,Positive,Very Positive
4.0,Nice mobile in this price range,Others,Negative,Positive
5.0,Awesome product,Others,Positive,Very Positive
3.0,Average,Others,Neutral,Neutral
5.0,Excellent mobile good display quality,Display,Positive,Very Positive
1.0,Out of 2 only 1 speaker is working from day 1,Others,Negative,Very Negative
5.0,"Value for money...
Dislike late delivery",Delivery,Negative,Very Positive
1.0,Bad facility for replacement,Others,Negative,Very Negative
5.0,I've fallen in love!,Others,Positive,Very Positive
3.0,Poor,Others,Very Negative,Neutral
5.0,Good,Others,Neutral,Very Positive
1.0,worst product ever. don't buy it.,Others,Very Negative,Very Negative
5.0,"Awesome mobile, value of money...",Others,Positive,Very Positive
5.0,Nice phn,Others,Positive,Very Positive
4.0,notch. display better,Display,Neutral,Positive
5.0,Nice products ?? . . .,Others,Positive,Very Positive
1.0,waste of money,Others,Negative,Very Negative
5.0,Nice and super mobile,Others,Positive,Very Positive
5.0,awosome phone,Others,Positive,Very Positive
4.0,Phone system is nice,Others,Positive,Positive
4.0,Mobile is very nice.,Others,Positive,Positive
5.0,Good Product,Others,Positive,Very Positive
5.0,Great phone@,Others,Positive,Very Positive
3.0,Nice mobaile,Others,Positive,Neutral
5.0,Mind blowing,Others,Neutral,Very Positive
5.0,Nice product,Others,Positive,Very Positive
5.0,Like,Others,Positive,Very Positive
4.0,Nice,Others,Positive,Positive
5.0,Good product Amazon,Others,Positive,Very Positive
5.0,It's awesome phone.,Others,Positive,Very Positive
5.0,I have fall in love,Others,Positive,Very Positive
4.0,I loved the display,Display,Positive,Positive
3.0,All is well,Others,Positive,Neutral
5.0,Nice phone.,Others,Neutral,Very Positive
5.0,Superb????????????,Others,Very Positive,Very Positive
3.0,Video screen short,Others,Neutral,Neutral
4.0,??,Others,Neutral,Positive
5.0,Very good product,Others,Positive,Very Positive
5.0,Simply Mi ia best,Others,Positive,Very Positive
5.0,Very nice,Others,Positive,Very Positive
5.0,No thanks,Others,Negative,Very Positive
5.0,Battery and camera,Battery,Neutral,Very Positive
5.0,Value for money,Others,Positive,Very Positive
5.0,daaaaaaaam good,Others,Very Positive,Very Positive
5.0,Value for money,Others,Neutral,Very Positive
1.0,Selfi flesh not,Others,Neutral,Very Negative
5.0,Perfect,Others,Positive,Very Positive
4.0,Superb product,Others,Very Positive,Positive
5.0,Best for price,Others,Neutral,Very Positive
5.0,Really like it,Others,Positive,Very Positive
5.0,Not ok,Others,Very Negative,Very Positive
5.0,User friendly,Others,Neutral,Very Positive
5.0,Slow charging,Battery,Negative,Very Positive
5.0,Good product,Others,Positive,Very Positive
3.0,Overall good,Others,Very Positive,Neutral
4.0,Good,Others,Positive,Positive
5.0,Nice,Others,Positive,Very Positive
4.0,Good,Others,Neutral,Positive
5.0,Good,Others,Positive,Very Positive
5.0,Best,Others,Positive,Very Positive
5.0,super,Others,Negative,Very Positive
5.0,all is fine,Others,Positive,Very Positive
4.0,Nice mobile,Others,Positive,Positive
5.0,Nice mobile,Others,Neutral,Very Positive
5.0,Yes,Others,Neutral,Very Positive
4.0,Best phone,Others,Very Positive,Positive
5.0,Too good,Others,Very Positive,Very Positive
4.0,Good one,Others,Positive,Positive
5.0,Case back,Others,Negative,Very Positive
5.0,Mi Best,Others,Positive,Very Positive
5.0,Its osm,Others,Very Negative,Very Positive
3.0,Super,Others,Very Negative,Neutral
5.0,Good,Others,Positive,Very Positive
5.0,Good,Others,Positive,Very Positive
4.0,Nice,Others,Positive,Positive
5.0,Nice,Others,Neutral,Very Positive
5.0,good,Others,Very Negative,Very Positive
5.0,Good,Others,Neutral,Very Positive
5.0,Nice,Others,Positive,Very Positive
5.0,Jiiy,Others,Neutral,Very Positive
5.0,Good,Others,Positive,Very Positive
5.0,Nice,Others,Positive,Very Positive
5.0,like,Others,Neutral,Very Positive
5.0,Nice,Others,Neutral,Very Positive
5.0,Ok,Others,Neutral,Very Positive
1.0,No,Others,Neutral,Very Negative
5.0,Ok,Others,Neutral,Very Positive
5.0,Good,Others,Neutral,Very Positive
1.0,It has a worst front camera I have ever seen on a Mi device.Its just disgusting to see such a poor front camera on a Rs.11000 device.Very much disappointed.,Camera,Very Negative,Very Negative
1.0,"Guys, just don't buy Redmi 6 pro for now atleast. Got it delivered yesterday, I have both Gold and Black Variant. Black looks nice. But wait, It's just an unpolished product. The Pinch to fill the video doesn't work in Mi Video app. The left edge remains like this ""|"" and right "")"" even this happens in Youtube. Both apps leave way too much on both sides if I let it to original. Making it a 5 inch screen display. There is No Indian City name in Time Zone, it's shown as GMT+5:30. It automatically detects the time zone as China. Why?? Has to change time, manually!!!! Then, How the heck they say that this is Made in India. While setting up the phone, the Limitless theme has Icons written in chinese. The camera app is inconsistent. The so called AI doesn't seem to be going well with SD625. My friend has RN5 pro. I think they both have same app. But his camera shows icon within screen top as if its going to shoot it with Flash or HDR. But, no this is just a crap..

So, a 5.84 screen display is just a waste if I cann't watch video to its limit. What's the purpose served by notch then and what am I supposed to do with that 5.84 inch screen???? No more notification icons in the notification bar, No more connection speed and battery percentage too, until you drop that notification panel. Stupid MI !!!!",Display,Negative,Very Negative
1.0,"Please don't buy!!

Horrible phone from Xiaomi!!

The phone is just for people who like showing off the new iPhone notch design. The phone uses an outdated processor and lags terrible in term of performance. When we use more than 4apps at a time, the phone will get hanged and you will be forced to restart the phone. Watching videos for more than 20mins the phone gets extrmely heated and you will have to put it to stanby fir a while before resarting the use of the phone. Very bad multi-tasking. The build quality is okay, but not as good as other budget phone. A flat drop on the front screen side if hit hardly will crack the screen. The front camera is extremely poor and has been downgraded and doesn't produce even a decent quality picture. Selfie lovers, please don't even buy this phone you will get a heart ache after looking at your pix. The rear camera picture quality is average and is very unlike of xiaomi.

On the other side, the basic things like the output from the speaker phone and and the earphone are extremely poor and distorted...

The only con is a decent screen, however that is contributed by low quality video while played in amazon or netflix..

Had complained to Amazon on the above low quality issues, unfortunately Amazon is not willing to listen, they are saying technically the phone is working and hence it can't taken back.. Unfortunately, in this case Amazon has put its sellers over it buyers who are their bread and butter. Hope Amazon listens to my complaint here and takes measures to improve their service... Just to put things into perspective, an average 6-7k phone is sold at an extremely abnoxiously at a high price of 11k. You can find many better phone at this high price. Please stop buying this phone. Thanks for reading. Extremely sadened on buying this phone...",Camera,Very Negative,Very Negative
3.0,"good rear camera and bad front camera but software problem so cant connect to camera error comes on startup of camera!
Far better than asus zenfone max pro m1.
Now feeling the Sony camera quality.
Front camera is wow (5mp) still taking better than 13mp pics
I am using this phone as a pro photographer now
Wait for one month and you will get 1000/- off on it.
Thanks amazon
Thanks Mi India.",Camera,Positive,Neutral
2.0,"Front camera of this phone is like a VGA camera, having very noisy effect. I recommend that please don't buy this phone.",Camera,Negative,Negative
1.0,"I say this product is very defective camera is not working proper and speed is very slow and company. Refunding my money the amazon customers care representative ,s behavior is very bad there is option of return on display the amazon company,s app but not return this product so I request to all customers be care full",Display,Very Negative,Very Negative
1.0,Not good photo crirati,Others,Negative,Very Negative
1.0,Camera is too worst considering price of the phone. Front camera worst than other ordinary mobiles. Processor not that much fast than other 2 ghz speed mobiles of redmi. Notch is only for namesake and size sake. It's a big let down. Bought this phone considering notch option. But redmi disappointed here. Is redmi started thinking India as dump yard. Redmi Y2 is better option than this.,Camera,Negative,Very Negative
